fps,sil_steps,sil_num_episodes,value_loss,total_timesteps,explained_variance,best_episode_reward,episode_reward,nupdates,sil_valid_samples,policy_entropy
223,0.0,0.0,0.0011115598026663065,320,-3.977698802947998,0.0,0,1,0.0,2.890371084213257
2693,0.0,0.0,0.0005724694347009063,32000,-0.046448588371276855,0.0,0.0,100,0.0,2.8903701305389404
2774,0.0,0.0,0.0004720831348095089,64000,-0.06318962574005127,0.0,0.0,200,0.0,2.8903701305389404
2794,0.0,0.0,0.0005737521569244564,96000,-0.3476830720901489,0.0,0.0,300,0.0,2.8903701305389404
2826,0.0,0.0,0.0004419545584823936,128000,-0.5410484075546265,0.0,0.0,400,0.0,2.8903701305389404
2826,0.0,0.0,0.0004731984809041023,160000,-0.48665761947631836,0.0,0.0,500,0.0,2.8903701305389404
2795,0.0,0.0,0.00046128331450745463,192000,-0.7255864143371582,0.0,0.0,600,0.0,2.8903701305389404
2791,0.0,0.0,0.000608826638199389,224000,-0.614054799079895,0.0,0.0,700,0.0,2.890369415283203
2790,0.0,0.0,0.00041023828089237213,256000,-0.24999070167541504,0.0,0.0,800,0.0,2.8903660774230957
2763,0.0,0.0,0.00040477258153259754,288000,-0.5626157522201538,0.0,0.0,900,0.0,2.890361785888672
2774,0.0,0.0,0.00036369674489833415,320000,-0.48105359077453613,0.0,0.0,1000,0.0,2.8903489112854004
2779,0.0,0.0,0.0004207542515359819,352000,-0.27008044719696045,0.0,0.0,1100,0.0,2.8903164863586426
2793,0.0,0.0,0.00024338069488294423,384000,-0.25945544242858887,0.0,0.0,1200,0.0,2.8902416229248047
2590,1793.0,1.0,0.0019446176011115313,416000,0.16649550199508667,100.0,2.5,1300,489.0,2.7848081588745117
2368,1793.0,1.0,0.004079964943230152,448000,-0.34925007820129395,100.0,0.0,1400,223.0,2.7029755115509033
2199,1793.0,1.0,0.0027265429962426424,480000,0.06490832567214966,100.0,0.0,1500,492.0,2.45929217338562
2076,1793.0,1.0,0.00260721193626523,512000,0.3822808265686035,100.0,0.0,1600,471.0,2.5412216186523438
1976,2666.0,2.0,0.003299128729850054,544000,0.4967801570892334,100.0,2.5,1700,495.0,2.3368594646453857
1886,2666.0,2.0,0.003442616667598486,576000,-0.14731669425964355,100.0,0.0,1800,506.0,1.601891279220581
1813,2666.0,2.0,0.0027406811714172363,608000,0.30539560317993164,100.0,0.0,1900,347.0,1.9162200689315796
1752,2666.0,2.0,0.002944295760244131,640000,0.34172749519348145,100.0,0.0,2000,509.0,2.2527410984039307
1699,3677.0,3.0,0.0029155847150832415,672000,0.4987833499908447,100.0,0.0,2100,442.0,2.1279993057250977
1654,3677.0,3.0,0.001794137293472886,704000,0.2791885733604431,100.0,0.0,2200,429.0,2.0899150371551514
1615,3677.0,3.0,0.002155870897695422,736000,0.657848447561264,100.0,0.0,2300,482.0,2.1051106452941895
1581,3677.0,3.0,0.0021116253919899464,768000,0.3750303387641907,100.0,0.0,2400,486.0,2.1351847648620605
1551,3677.0,3.0,0.002361355582252145,800000,0.6333561539649963,100.0,0.0,2500,441.0,2.069310426712036
1525,4557.0,4.0,0.0019843014888465405,832000,0.24454176425933838,100.0,2.5,2600,103.0,2.0456950664520264
1502,4557.0,4.0,0.001020713010802865,864000,0.7585263401269913,100.0,0.0,2700,480.0,2.0038599967956543
1480,5373.0,5.0,0.0017363496590405703,896000,0.6966671347618103,100.0,2.5,2800,477.0,2.1879124641418457
1460,7273.0,7.0,0.002517164219170809,928000,0.5949784517288208,100.0,0.0,2900,426.0,2.0778584480285645
