policy_entropy,value_loss,episode_reward,sil_num_episodes,sil_valid_samples,fps,total_timesteps,nupdates,sil_steps,explained_variance,best_episode_reward
2.890371084213257,0.0011115598026663065,0,0.0,0.0,240,320,1,0.0,-3.977698802947998,0.0
2.8903701305389404,0.000572468969039619,0.0,0.0,0.0,2803,32000,100,0.0,-0.046447038650512695,0.0
2.8903701305389404,0.0004720821452792734,0.0,0.0,0.0,2911,64000,200,0.0,-0.06318867206573486,0.0
2.8903701305389404,0.0005737525061704218,0.0,0.0,0.0,2914,96000,300,0.0,-0.34768009185791016,0.0
2.8903701305389404,0.0004419562465045601,0.0,0.0,0.0,2883,128000,400,0.0,-0.5410484075546265,0.0
2.8903701305389404,0.0004731994995381683,0.0,0.0,0.0,2894,160000,500,0.0,-0.4866619110107422,0.0
2.8903701305389404,0.0004612840129993856,0.0,0.0,0.0,2919,192000,600,0.0,-0.7255910634994507,0.0
2.890369415283203,0.0006088274531066418,0.0,0.0,0.0,2944,224000,700,0.0,-0.6140444278717041,0.0
2.8903660774230957,0.00041024168604053557,0.0,0.0,0.0,2972,256000,800,0.0,-0.2499995231628418,0.0
2.890361785888672,0.00040476483991369605,0.0,0.0,0.0,2985,288000,900,0.0,-0.5627577304840088,0.0
2.8903489112854004,0.00036378661752678454,0.0,0.0,0.0,2998,320000,1000,0.0,-0.48124730587005615,0.0
2.8903164863586426,0.000420697353547439,0.0,0.0,0.0,3010,352000,1100,0.0,-0.2700164318084717,0.0
2.8902416229248047,0.0002431986213196069,0.0,0.0,0.0,3025,384000,1200,0.0,-0.25948548316955566,0.0
1.8389413356781006,0.0020182919688522816,2.5,1.0,512.0,2820,416000,1300,1793.0,0.31343114376068115,100.0
2.4528863430023193,0.004109260626137257,0.0,1.0,512.0,2584,448000,1400,1793.0,0.14786267280578613,100.0
2.137800931930542,0.002598188351839781,0.0,1.0,512.0,2403,480000,1500,1793.0,-0.1700572967529297,100.0
2.4528098106384277,0.007235079072415829,0.0,1.0,512.0,2265,512000,1600,1793.0,0.3986320495605469,100.0
1.64032781124115,0.03096262738108635,0.0,1.0,512.0,2160,544000,1700,1793.0,0.38025110960006714,100.0
1.992408037185669,0.0047034332528710365,0.0,1.0,512.0,2073,576000,1800,1793.0,0.47566694021224976,100.0
2.087648868560791,0.005649601574987173,0.0,1.0,512.0,2001,608000,1900,1793.0,0.08836716413497925,100.0
2.2350354194641113,0.0028616152703762054,0.0,1.0,512.0,1941,640000,2000,1793.0,0.35285866260528564,100.0
0.7687017321586609,0.020621489733457565,0.0,1.0,512.0,1889,672000,2100,1793.0,-0.41852474212646484,100.0
2.181960105895996,0.0036287824623286724,0.0,1.0,512.0,1836,704000,2200,1793.0,-0.2568575143814087,100.0
2.18780517578125,0.0014178819255903363,0.0,1.0,512.0,1791,736000,2300,1793.0,-0.056824445724487305,100.0
2.0533595085144043,0.00437074014917016,0.0,1.0,512.0,1751,768000,2400,1793.0,0.024630486965179443,100.0
1.9724044799804688,0.0006060791783966124,0.0,1.0,512.0,1718,800000,2500,1793.0,0.5605829060077667,100.0
1.7453410625457764,0.0009135128930211067,0.0,1.0,512.0,1688,832000,2600,1793.0,0.2717738747596741,100.0
2.165450096130371,0.0005555181996896863,0.0,1.0,512.0,1661,864000,2700,1793.0,0.5645046830177307,100.0
2.146094560623169,0.00266178953461349,0.0,1.0,512.0,1637,896000,2800,1793.0,0.1311015486717224,100.0
2.4047250747680664,0.0001977073261514306,0.0,1.0,512.0,1616,928000,2900,1793.0,0.5105236768722534,100.0
2.198270797729492,0.0018591617699712515,0.0,1.0,512.0,1597,960000,3000,1793.0,0.5531221330165863,100.0
2.3293182849884033,0.0013137765927240252,0.0,1.0,512.0,1579,992000,3100,1793.0,0.9111579656600952,100.0
