policy_entropy,serial_timesteps,episode_reward,best_episode_reward,sil_num_episodes,sil_valid_samples,fps,approxkl,value_loss,explained_variance,episode_raw_reward,clipfrac,time_elapsed,sil_steps,policy_loss,total_timesteps,nupdates
2.8896134,128,0,0.0,0.0,0.0,1356,0.0007874331,0.0055663204,-3.8772106170654297,0,0.0,6.038112163543701,0.0,-0.002032797,8192,1
2.81886,1280,0.0,0.0,0.0,0.0,1699,0.0024911733,0.00012409693,-2.4899232387542725,0.0,0.013916016,47.73267722129822,0.0,-0.0019216178,81920,10
2.8253298,2560,0.0,0.0,0.0,0.0,2027,0.0027178102,8.0608035e-05,-6.350524425506592,0.0,0.010437012,91.61012578010559,0.0,-0.0013724999,163840,20
2.792774,3840,0.0,0.0,0.0,0.0,2123,0.0027141473,7.080109e-05,-4.131327152252197,0.0,0.017944336,133.7846155166626,0.0,-0.0016899696,245760,30
2.79748,5120,0.0,0.0,0.0,0.0,2197,0.0011878246,5.0002724e-05,-6.341590881347656,0.0,0.0048217773,170.73651504516602,0.0,-0.001063497,327680,40
2.7784274,6400,0.0,0.0,0.0,0.0,2168,0.0031992337,6.397031e-05,-3.307861328125,0.0,0.013336182,208.55005359649658,0.0,-0.0017646721,409600,50
2.739112,7680,0.0,0.0,0.0,0.0,2242,0.002864486,4.728928e-05,-5.9376373291015625,0.0,0.016723633,245.7124354839325,0.0,-0.0019040508,491520,60
2.8594816,8960,0.0,0.0,0.0,0.0,2219,0.0009593997,4.2908665e-05,-4.475846767425537,0.0,0.002960205,283.72723507881165,0.0,-0.0011393906,573440,70
2.882936,10240,0.0,0.0,0.0,0.0,2216,0.00084876886,2.4883497e-05,-4.289950847625732,0.0,0.009460449,321.3775954246521,0.0,-0.0011872023,655360,80
2.8778143,11520,0.0,0.0,0.0,0.0,2190,0.00059036084,3.658172e-05,-5.263578414916992,0.0,3.0517578e-05,358.78197741508484,0.0,-0.00028302366,737280,90
2.850018,12800,0.0,0.0,0.0,0.0,2121,0.0035399708,3.923382e-05,-3.7086496353149414,0.0,0.021911621,395.3027777671814,0.0,-0.003029539,819200,100
2.7887583,14080,0.0,0.0,0.0,0.0,2266,0.0031271288,4.0488754e-05,-4.812269687652588,0.0,0.019104004,432.3954322338104,0.0,-0.0016659098,901120,110
2.8619626,15360,0.0,0.0,0.0,0.0,2261,0.0013086678,3.363774e-05,-6.123032569885254,0.0,0.0022277832,469.79835748672485,0.0,-0.0018918056,983040,120
2.7776866,16640,0.0,0.0,0.0,0.0,2169,0.004076562,5.441777e-05,-4.528848171234131,0.0,0.025787354,507.2548334598541,0.0,-0.0028261703,1064960,130
2.7368314,17920,0.0,0.0,0.0,0.0,2210,0.0014842604,5.0863204e-05,-3.089566707611084,0.0,0.008300781,543.9871616363525,0.0,-0.0021388696,1146880,140
2.8534958,19200,0.0,0.0,0.0,0.0,1919,0.00401667,1.7510132e-05,-3.7501020431518555,0.0,0.038085938,584.7024571895599,0.0,-0.0025186448,1228800,150
2.8660817,20480,0.0,100.0,1.0,471.0,1740,0.0017077182,1.6023598e-05,-3.055140972137451,0.0,0.0050964355,630.0883359909058,2853.0,-0.0015729573,1310720,160
2.8507824,21760,0.0,100.0,1.0,506.0,1784,0.0036324027,1.912707e-05,-3.3109874725341797,0.0,0.030639648,675.8550276756287,2853.0,-0.0023455054,1392640,170
