total_timesteps,fps,sil_num_episodes,sil_steps,episode_reward,nupdates,policy_entropy,approxkl,episode_raw_reward,policy_loss,serial_timesteps,time_elapsed,value_loss,clipfrac,sil_valid_samples,best_episode_reward,explained_variance
8192,1418,0.0,0.0,0,1,2.8890336,0.0013488147,0,-0.0014093095,128,5.774507284164429,0.07015485,0.0,0.0,0.0,0.036348044872283936
81920,1863,0.0,0.0,-8.275,10,2.8804476,0.00036774878,-36.725,-0.0005055461,1280,46.107303619384766,0.3418234,0.0,0.0,0.0,0.14073807001113892
163840,1783,0.0,0.0,-9.45,20,2.801945,0.0036653054,-53.2,-0.0020442684,2560,90.25509643554688,0.07587191,0.01586914,0.0,0.0,0.4539574980735779
245760,1809,0.0,0.0,-4.175,30,2.7843473,0.002798848,-17.0,-0.00036540072,3840,134.61538982391357,0.052240603,0.0076293945,0.0,0.0,0.4722222685813904
327680,1878,0.0,0.0,-2.95,40,2.7491856,0.0046645883,-15.325,-0.0028095422,5120,178.94542741775513,0.010928951,0.034942627,0.0,0.0,0.7725048959255219
409600,1932,0.0,0.0,-2.95,50,2.8346477,0.0018198971,-20.125,-0.002596616,6400,223.16345882415771,0.09234839,0.009643555,0.0,0.0,0.31152212619781494
491520,1823,0.0,0.0,-8.25,60,2.815368,0.003346019,-57.425,-0.0018567317,7680,268.198344707489,0.029950278,0.013122559,0.0,0.0,0.5338782966136932
573440,1842,0.0,0.0,-2.375,70,2.7932646,0.0020092907,-29.85,-0.001383693,8960,312.7466723918915,0.026487911,0.0058288574,0.0,0.0,0.4967910051345825
655360,1801,0.0,0.0,-5.55,80,2.7908776,0.002330887,-61.5,-0.002929222,10240,357.86267042160034,0.1215673,0.014831543,0.0,0.0,0.15604156255722046
737280,1822,0.0,0.0,-1.775,90,2.7883701,0.0035772477,-8.55,-0.0018292675,11520,402.407342672348,0.013091483,0.016967773,0.0,0.0,0.653430163860321
819200,1816,0.0,0.0,-1.875,100,2.7980564,0.0017845791,-21.15,-0.0020378446,12800,446.8604145050049,0.054827645,0.009979248,0.0,0.0,0.3302816152572632
901120,1948,0.0,0.0,-2.8,110,2.8334365,0.0034553779,-17.725,-0.0027055414,14080,490.3679184913635,0.0019235093,0.04107666,0.0,0.0,0.4480111002922058
983040,1970,0.0,0.0,-1.9,120,2.8460188,0.0032574402,-25.95,-0.0026333197,15360,533.7237598896027,0.03356624,0.03741455,0.0,0.0,0.37718290090560913
1064960,1943,0.0,0.0,-2.225,130,2.8046842,0.0020829388,-19.825,-0.0020617233,16640,576.4118845462799,0.12974457,0.0060424805,0.0,0.0,0.40257418155670166
